PERIOD,DECLARANT,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-03,SE,:,:,:,:,"1,64","2.682,01","296,11","1,39",:,:,"4.951,07","1.042,38","0,42","4.039,05",:,"37,21",:,"171,11",:,:,"228,20","1.029,11",:,:,:,:,:,"847,54"
2007-03,SI,"2.553,72",:,:,:,:,"2.651,58",:,:,:,:,"441,05","847,32",:,"939,83","84,69","157,09",:,:,:,:,:,"6,82",:,:,:,:,:,"32,59"
2007-03,SK,"3,66","6,85",:,:,"1.398,89","2.989,55",:,:,:,:,"4.120,06","73,30",:,"4.819,01","99,87","0,34",:,:,:,:,"4,50","251,60",:,:,"878,52",:,:,"27,74"
2007-03,UK,"108,96","573,35",:,"90,40","126,50","82.082,96","85,18",:,"4,36","900,40","75.118,09","7.702,18",:,"49.068,52","6.439,21","1.066,15","0,67","1.011,38",:,"0,06","57.460,75","12,72","822,28","49,14","3.494,52",:,:,:
2007-04,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-04,BE,"14,20",:,:,:,"3,51","1.843,98","719,00",:,:,:,"1.560,08","1.065,39",:,"5.758,43",:,"21,45",:,"295,40",:,:,"15.741,24",:,"23,40",:,"3.446,39",:,:,"143,16"
2007-04,BG,"5.955,21",:,:,"471,92","480,00","1.342,38","17,84",:,"302,15","18,83","401,77","154,18",:,"3.762,30",:,:,"15,81","52,97",:,:,"10,65",:,:,"280,00","577,75",:,:,"177,86"
2007-04,CY,"14,04",:,:,:,:,"343,83","43,19",:,"396,10",:,"100,54",:,:,"161,26",:,:,:,:,:,:,:,:,:,:,"564,21",:,:,"30,26"
2007-04,CZ,"2.733,73","15,97",:,"88,32",:,"4.731,79","97,10",:,:,:,"2.483,78","12,29",:,"8.221,46",:,"605,92","54,62","5,80",:,:,"10,65","614,33",:,"288,64","1.977,53",:,"1.266,69","1.255,67"
2007-04,DE,"3.897,66","1.127,11","72,76",:,"2,65",:,"3.280,95","73,46",:,"83,90","52.382,63","7.750,26",:,"70.081,54","657,17","1.269,09",:,"1.644,60","16,62",:,"735,75","879,29",:,"38,04","7.988,60",:,"21,80","4.985,40"
2007-04,DK,:,"14,30",:,"173,37","2,30","4.322,31",:,:,:,"641,71","3.736,05","663,53",:,"6.262,28","0,80","644,88","206,87","162,75","98,60",:,"144,79","340,41",:,:,"9.466,01",:,:,"5.398,67"
2007-04,EE,:,:,:,:,"338,71","310,02","7,50",:,:,"0,10","1.404,69","4,33",:,"350,36",:,"1,18","117,81","1,04","1.970,77",:,"529,86",:,:,:,"510,61",:,:,"0,59"
2007-04,EL,"14.271,88",:,:,"10,19","89,22","6.414,59","353,23",:,:,"516,20","15.490,21","844,89",:,"217,80","16,23","11,83",:,:,:,:,"39,50",:,:,:,:,:,:,"573,86"
2007-04,ES,"147,82","24,07",:,:,"512,96","56.028,31","8.167,40",:,:,:,"9.831,71","2.872,28",:,"32.565,66","71,30","2.428,63",:,"522,91",:,:,"22.368,04",:,"1.303,34",:,"91,93",:,"48,18","8.283,92"
2007-04,FI,"562,08",:,:,:,"6,42","4.749,88","96,09","28,14",:,:,:,"13,91",:,"2.318,46",:,:,"7,23","4,41",:,:,"3,35",:,:,:,"1.359,54",:,:,"12,23"
2007-04,FR,"957,36","154,54","0,14",:,"3,30","15.663,92","4.075,21",:,"0,84","1.481,92","14.039,72",:,:,"621,94","40,66","13.315,97",:,"650,41","0,15",:,"31.781,11","3,74","103,50","0,45","2.349,43","9,78","0,31","9.816,45"
2007-04,HR,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-04,HU,"2.351,85",:,:,"356,71","168,49","4.736,02",:,:,:,"1.286,35","57,47","1.725,81","20,20",:,"574,22","4,72",:,"0,71",:,:,"40,20","130,59","11,06",:,"4.032,94",:,"25,08","315,06"
2007-04,IE,:,:,:,:,:,"13.581,58",:,:,:,:,"1.262,41","153,25",:,"15.781,82",:,:,:,"32,95",:,:,"2.299,67",:,:,:,:,:,:,"4.345,68"
2007-04,IT,"687,24","216,00",:,:,"49,91","29.735,25","5.026,28",:,:,"7,93","20.510,55","3.789,23",:,"13.912,68","37,64",:,:,"354,64",:,:,"12.541,30",:,"265,10","684,79","735,28","27,57",:,"1.764,74"
2007-04,LT,"1.265,32",:,:,:,"21,68","1.072,39",:,:,:,"39,18","3.734,10",:,:,"24,00",:,:,:,:,"8,51",:,"62,26","38,48","5,90",:,"697,98",:,:,"508,04"
2007-04,LU,"301,19","718,33",:,:,:,"3.003,17","31,34",:,:,"14,28",:,"3.772,69",:,"1,74","12,42","2.455,61",:,:,:,:,"1.039,10",:,"123,26",:,"58,10",:,:,"375,83"
2007-04,LV,"688,80",:,:,:,"130,56","1.451,04",:,"2.612,88",:,:,"1.230,12","2,28",:,:,:,:,"1.690,71",:,:,:,:,:,:,:,"795,69",:,:,"244,76"
2007-04,MT,:,:,:,:,:,"1,61",:,:,:,:,"122,89","1,43",:,:,:,"4,38",:,:,:,:,:,:,:,:,:,:,:,"4,39"
2007-04,NL,"1,02","8.603,07","1,26","39,73","4,86","6.852,91","1.303,61",:,"1,81","148,98","14.266,58","2.745,38","0,05","11.195,93","0,90","463,02","0,71","561,52","0,27","1,51",:,"34,49","7,28","45,89","5.521,25","2,48","2,19","5.835,89"
2007-04,PL,"8.553,58","0,22",:,:,"945,34","17.541,56","271,88",:,:,"32,85","7.709,35","4.047,61",:,"16.232,18",:,:,:,"2,84",:,:,"3,05",:,:,:,"14.886,71",:,:,"225,29"
2007-04,PT,:,:,:,:,"39,86","6.018,76","165,38",:,:,"6.105,69","4.072,11","599,50",:,"10.666,58",:,"1,70",:,"16,52",:,:,"1.781,19",:,:,:,"2.526,97",:,:,"121,47"
2007-04,RO,"2.061,54",:,"137,73",:,"269,12","7.662,65","74,31",:,"1,87","60,62","3.764,86","683,43",:,"6.044,48",:,"0,53",:,"26,10",:,:,"301,66",:,:,:,"774,08",:,:,"870,08"
2007-04,SE,:,"0,06",:,:,:,"2.152,30","1.099,35",:,:,:,"8.250,67","1.079,07","0,10","4.951,90",:,"37,46","13,19","94,80",:,:,"379,38","600,27",:,:,:,:,:,"158,89"
2007-04,SI,"2.160,84",:,:,:,"4,72","1.957,58",:,:,:,:,"315,55","0,10",:,"1.853,56",:,"0,91","0,86",:,:,:,:,"4,22",:,:,"2,84",:,:,"0,03"
2007-04,SK,:,"4,73",:,:,"1.670,89","975,58",:,:,:,:,"5.026,81","38,74",:,"6.579,27","358,34","15,73",:,:,:,:,"4,73","384,25",:,:,"4.946,01","5,84",:,"0,82"
2007-04,UK,"440,04","41,80",:,:,"125,96","48.101,06","35,90",:,:,"61,27","72.827,61","5.118,80","3,29","25.504,81","6.430,24","117,31",:,"1.119,31",:,:,"77.665,05","13,47","1.138,69","367,09","79,86",:,:,:
2007-05,AT,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2007-05,BE,:,:,:,:,:,"2.368,21","856,72",:,:,:,"1.462,46","324,70",:,"7.991,95",:,:,:,"323,86",:,:,"10.349,63",:,"94,04",:,"4.670,20",:,:,"916,62"
2007-05,BG,"2.347,97",:,:,"648,50","501,47","3.307,40","22,48",:,"75,41","5,34","1.375,66","118,85",:,"3.400,57",:,:,:,"22,59",:,:,"25,20","16,02","8,25",:,"641,23",:,"15,14","397,55"
2007-05,CY,:,:,:,:,:,"304,58","6,36",:,"535,58",:,"260,34",:,:,"316,81",:,:,:,:,:,:,"0,37",:,:,:,"378,14",:,:,"75,80"
2007-05,CZ,"2.392,80",:,:,:,:,"3.746,38","9,30",:,:,"0,65","2.204,00","140,31",:,"8.285,02","40,99","2.105,09","5,50","1,54",:,:,"349,51","250,99","72,92","444,45","1.765,67",:,"851,12","351,19"
2007-05,DE,"5.719,48","226,22","590,12","4,83","90,72",:,"5.019,56","564,65","79,19","377,37","2.840,61","12.779,02","10,09","30.971,69","7.650,67","4.276,12",:,"659,85",:,:,"71.988,03","1.124,89","23,30","25,73","2.237,97",:,"18,32","29.674,89"
2007-05,DK,"12,26","52,60",:,"251,49",:,"4.669,37",:,:,:,"969,82","5.754,75","574,50",:,"8.540,40",:,"255,53","207,42","175,61","217,04",:,"163,22","247,82",:,:,"9.078,48",:,:,"5.004,84"
2007-05,EE,"0,17",:,:,"38,57","199,18","311,51",:,:,:,:,"1.667,09",:,:,"434,92",:,:,"84,59","1,74","1.745,84",:,"230,89",:,:,:,"1.018,07",:,:,"1,55"
2007-05,EL,"10.894,98",:,"500,00","72,13",:,"2.415,65","597,97",:,:,:,"20.959,19","906,72","1,79","99,73","24,22","176,19",:,:,:,:,"11,16",:,:,:,"25,24",:,:,"277,47"
2007-05,ES,"115,44","19,69",:,:,"393,13","55.169,37","1.576,10",:,:,:,"16.216,02","1.462,60",:,"31.611,37","208,80","1.147,86",:,"1.277,03",:,:,"22.163,06",:,"1.089,31",:,"0,41",:,"19,35","7.736,12"
2007-05,FI,"619,02","8,38",:,:,"74,73","2.829,66","78,86","8,51",:,"0,60",:,"214,37","0,48","3.308,70","0,21",:,"1,97","3,23",:,:,"26,66",:,"1,53",:,"2.630,13",:,:,"448,27"
2007-05,FR,"1.356,59","78,73","1,08","0,85","32,11","10.804,60","5.496,82",:,:,"11,33","17.509,91",:,:,"452,32","48,62","16.024,88",:,"339,86","0,12",:,"44.535,98","1,04",:,:,"2.374,81",:,"0,14","6.087,75"
