PERIOD,PARTNER,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2007-04,SE,:,"0,06",:,:,"107,56","1.727,69","704,35",:,:,:,"6.865,33","502,91",:,"3.522,52","16,66",:,"58,63","93,56",:,:,"2,01","205,84",:,:,:,:,:,"214,61"
2007-04,SI,:,:,:,:,"4,85","2.880,83","132,71",:,:,:,"434,17","26,42",:,"1.125,35",:,:,:,"51,12",:,:,"3,08","0,38",:,:,:,:,:,"13,68"
2007-04,SK,:,"0,29",:,:,"1.195,75","2.045,88","12,74",:,:,:,"1.553,33","139,73",:,"3.845,33",:,"81,33",:,"28,18",:,:,"107,24","126,95",:,:,:,"5,95",:,"233,25"
2007-04,UK,:,"147,67",:,:,"251,29","54.693,75","1.678,79",:,:,"62,29","72.885,11","3.543,74",:,"23.918,96","3.631,36","55,10",:,"1.582,05",:,"3,84","77.751,27","74,97","929,26","605,84","9,41","5,73",:,:
2007-05,AT,:,"3,19","186,67",:,"15,53","7.012,65","2.090,55",:,:,:,"3.383,77","859,51",:,"5.557,98","2,84","4.132,47",:,"1,75","39,23",:,"3.948,47","578,75",:,:,"1,24",:,:,"346,84"
2007-05,BE,:,:,:,:,"1,14","2.128,92","994,00",:,:,:,"1.598,32","710,83",:,"6.734,28","6,08","0,12",:,"328,59",:,:,"3.855,37",:,:,:,"0,01",:,:,"126,30"
2007-05,BG,:,:,:,:,"323,93","2.856,46","28,53",:,"171,27","5,34","1.149,72","115,00",:,"1.807,01",:,"0,22",:,"36,54",:,:,"162,21","12,14",:,:,:,:,"59,35","691,57"
2007-05,CY,:,"0,06",:,:,"0,21","631,29","25,75",:,"26,83","107,50","310,60","503,94",:,"343,68",:,:,:,"67,50",:,:,"409,12",:,:,"116,41",:,:,:,"850,43"
2007-05,CZ,:,"0,21",:,:,:,"4.192,61","220,51",:,:,:,"4.990,43","122,25",:,"22.374,29","1.622,89","1.896,56",:,"47,27",:,"1,43","321,68","70,85","63,40","228,19",:,:,"6.074,35","203,64"
2007-05,DE,:,"1.759,30","503,71",:,"118,79",:,"5.205,69","0,04",:,"340,45","53.770,48","6.574,86",:,"36.421,06","1.039,25","910,59","103,20","1.323,69",:,"0,58","41.777,03","1.406,62","53,69","8,99","8,01",:,:,"8.708,82"
2007-05,DK,:,"1,06",:,:,"0,79","2.566,24",:,:,"0,33","0,40","5.944,27","624,09",:,"4.987,46","29,98","361,90","20,00","503,53","79,46",:,"22,77","241,58",:,:,"8.448,93",:,:,"1.307,56"
2007-05,EE,:,:,:,:,"254,34","565,43","1,70",:,:,:,"913,47","3,10",:,"479,03",:,:,"126,16","1,74","560,88",:,:,"1,85",:,:,"1.069,81",:,:,"18,81"
2007-05,EL,:,"3,60","1,57","180,56","46,35","12.154,45","606,45",:,:,:,"10.446,49","669,17",:,"3.631,90","1,06","74,78",:,"26,67",:,:,"21,79","8,84",:,:,"101,00",:,:,"10,85"
2007-05,ES,:,"17,98",:,:,"578,52","60.761,91","3.957,53",:,:,:,"16.266,49","4.766,99",:,"31.321,82","440,91","1.065,30",:,"1.291,39",:,:,"22.825,28","6,87","64,30",:,"4,27",:,:,"871,57"
